5000,3.100023604929447e-06
10000,7.00005330145359e-07
15000,6.00004568696022e-07
20000,1.200009137392044e-06
25000,7.00005330145359e-07
30000,1.400010660290718e-06
35000,7.00005330145359e-07
40000,1.100008375942707e-06
45000,7.00005330145359e-07
50000,7.00005330145359e-07
55000,1.00000761449337e-06
60000,9.00006853044033e-07
65000,1.100008375942707e-06
70000,1.300009898841381e-06
75000,1.1998927220702171e-06
80000,1.200009137392044e-06
85000,2.400018274784088e-06
90000,1.9000144675374031e-06
95000,4.199915565550327e-06
100000,1.200009137392044e-06
